,bay_id,the_geom,marker_id,meter_id,last_edit,rd_seg_id,rd_seg_dsc,mean_lat,mean_long,location
208,5135,"MULTIPOLYGON (((144.956642815884 -37.796376588178, 144.956636652411 -37.796425103356, 144.956635218448 -37.796436340488, 144.95660895968 -37.796434352867, 144.956616208979 -37.796374706264, 144.956642815884 -37.796376588178)))",,,20201223122247.0,22330.0,Fitzgibbon Street between Story Street and Morrah Street,-37.796403946555166,144.95663044521436,"(-37.796403946555166, 144.95663044521436)"
209,5673,"MULTIPOLYGON (((144.983839886722 -37.81283352347, 144.983837173764 -37.812854539371, 144.983760284298 -37.812846088183, 144.983763011596 -37.812824963487, 144.983839886722 -37.81283352347)))",,,20201223122248.0,21890.0,Gipps Street between Powlett Street and Clarendon Street,-37.8128385275962,144.98380804862038,"(-37.8128385275962, 144.98380804862038)"
210,3818,"MULTIPOLYGON (((144.926740520033 -37.823310257496, 144.9267430479 -37.823255492882, 144.92677190573 -37.823256578694, 144.926769318812 -37.82331134317, 144.926740520033 -37.823310257496)))",,,20201223122245.0,22144.0,Hall Street between Lorimer Street and Turner Street,-37.8232887859476,144.92675306250163,"(-37.8232887859476, 144.92675306250163)"
211,6166,"MULTIPOLYGON (((144.948848414951 -37.806955191432, 144.948868931661 -37.806939792667, 144.948910859086 -37.806974627039, 144.948889893635 -37.80699039829, 144.948848414951 -37.806955191432)))",,,20201223122249.0,21433.0,Roden Street between Spencer Street and King Street,-37.806963040172,144.94887330285684,"(-37.806963040172, 144.94887330285684)"
212,3675,"MULTIPOLYGON (((144.920807590828 -37.798144907708, 144.920821319173 -37.798159403929, 144.920764957478 -37.798191827873, 144.92075132368 -37.798176714209, 144.920807590828 -37.798144907708)))",,,20201223122245.0,21845.0,Kensington Road between Mercantile Parade and Hobsons Road,-37.7981635522854,144.92079055639738,"(-37.7981635522854, 144.92079055639738)"
213,641,"MULTIPOLYGON (((144.971001389306 -37.793834299403, 144.971023819222 -37.793836334093, 144.971024673239 -37.793836416395, 144.97102552585 -37.793836508586, 144.971026377105 -37.793836608863, 144.971026385026 -37.793836609901, 144.971025491713 -37.793841699694, 144.971017993563 -37.79388572381, 144.971016727081 -37.793885566814, 144.970992847129 -37.7938834008, 144.971001389306 -37.793834299403)))",,,20201223122239.0,20639.0,Rathdowne Street between Neill Street and Princes Street,-37.79384976979654,144.97101660168545,"(-37.79384976979654, 144.97101660168545)"
214,5122,"MULTIPOLYGON (((144.95773976464 -37.796512305158, 144.957739491518 -37.79651451101, 144.957733289447 -37.796566514942, 144.957708864516 -37.796565276705, 144.957715499595 -37.796510993996, 144.95773976464 -37.796512305158)))",,,20201223122247.0,22608.0,Royal Parade between Morrah Street and Story Street,-37.796530317828164,144.957729445726,"(-37.796530317828164, 144.957729445726)"
215,5393,"MULTIPOLYGON (((144.989708984084 -37.812671212811, 144.989710916413 -37.81265981794, 144.989712765787 -37.81264888486, 144.98977346842 -37.812656388049, 144.98976963917 -37.812678710685, 144.989708984084 -37.812671212811)))",,,20201223122248.0,21875.0,Darling Street between Grey Street and Gipps Street,-37.81266437119266,144.989730792993,"(-37.81266437119266, 144.989730792993)"
216,3281,"MULTIPOLYGON (((144.948471672451 -37.798679180761, 144.948505285895 -37.798683081755, 144.948496603233 -37.798731402043, 144.948463618697 -37.798727592208, 144.948471672451 -37.798679180761)))",,,20201223122244.0,21168.0,Haines Street between Curzon Street and Abbotsford Street,-37.798700087505594,144.9484817705454,"(-37.798700087505594, 144.9484817705454)"
217,5072,"MULTIPOLYGON (((144.946016810269 -37.776436652297, 144.946019544979 -37.776415213187, 144.946020685658 -37.776415349331, 144.946086908071 -37.776423306204, 144.946083800188 -37.776444773955, 144.946016810269 -37.776436652297)))",,,20201223122247.0,22398.0,Park Street between Oak Street and West Coburg Tramway,-37.776428657878505,144.94604075990569,"(-37.776428657878505, 144.94604075990569)"
218,2292,"MULTIPOLYGON (((144.947341880665 -37.824976357747, 144.947334890091 -37.825000551297, 144.9472767123 -37.825008378383, 144.947284236583 -37.824984113036, 144.947341880665 -37.824976357747)))",,,20201223122242.0,22863.0,Cargo Lane from Lorimer Street,-37.824989151642,144.94731592006082,"(-37.824989151642, 144.94731592006082)"
