pay_stay_zone,day_of_week,start_time,end_time,minimum_stay,maximum_stay,cost_per_hour
30001057,5,7:30,18:30,0,240,170
30001057,6,7:30,18:30,0,240,170
30001057,7,7:30,12:30,0,240,170
30001058,2,7:30,18:30,0,60,320
30001058,3,7:30,18:30,0,60,320
30001058,4,7:30,18:30,0,60,320
30001058,5,7:30,18:30,0,60,320
30001058,6,7:30,18:30,0,60,320
30001058,7,7:30,12:30,0,60,320
30001059,2,7:30,18:30,0,120,320
30001059,3,7:30,18:30,0,120,320
30001059,4,7:30,18:30,0,120,320
30001059,5,7:30,18:30,0,120,320
30001059,6,7:30,18:30,0,120,320
30001059,7,7:30,12:30,0,120,320
30001060,2,7:30,18:30,0,240,170
30001060,3,7:30,18:30,0,240,170
30001060,4,7:30,18:30,0,240,170
30001060,5,7:30,18:30,0,240,170
30001060,6,7:30,18:30,0,240,170
30001060,7,7:30,13:30,0,240,170
30001061,2,7:30,18:30,0,120,320
30001061,3,7:30,18:30,0,120,320
30001061,4,7:30,18:30,0,120,320
30001061,5,7:30,18:30,0,120,320
30001061,6,7:30,18:30,0,120,320
30001061,7,7:30,12:30,0,120,320
30001062,2,7:30,18:30,0,60,320
30001062,3,7:30,18:30,0,60,320
30001062,4,7:30,18:30,0,60,320
30001062,5,7:30,18:30,0,60,320
30001062,6,7:30,18:30,0,60,320
30001062,7,7:30,12:30,0,60,320
30001064,2,7:30,18:30,0,240,170
30001064,3,7:30,18:30,0,240,170
30001064,4,7:30,18:30,0,240,170
30001064,5,7:30,18:30,0,240,170
30001064,6,7:30,18:30,0,240,170
30001064,7,7:30,12:30,0,240,170
30001065,2,7:30,18:30,0,60,320
30001065,3,7:30,18:30,0,60,320
30001065,4,7:30,18:30,0,60,320
30001065,5,7:30,18:30,0,60,320
30001065,6,7:30,18:30,0,60,320
30001065,7,7:30,12:30,0,60,320
30001066,2,7:30,18:30,0,120,320
30001066,3,7:30,18:30,0,120,320
30001066,4,7:30,18:30,0,120,320
30001066,5,7:30,18:30,0,120,320
30001066,6,7:30,18:30,0,120,320
30001066,7,7:30,12:30,0,120,320
30001067,2,7:30,18:30,0,60,320
30001067,3,7:30,18:30,0,60,320
30001067,4,7:30,18:30,0,60,320
30001067,5,7:30,18:30,0,60,320
30001067,6,7:30,18:30,0,60,320
30001067,7,7:30,12:30,0,60,320
30001068,2,7:30,18:30,0,60,320
30001068,3,7:30,18:30,0,60,320
30001068,4,7:30,18:30,0,60,320
30001068,5,7:30,18:30,0,60,320
30001068,6,7:30,18:30,0,60,320
30001068,7,7:30,12:30,0,60,320
30001069,2,7:30,18:30,0,60,320
30001069,3,7:30,18:30,0,60,320
30001069,4,7:30,18:30,0,60,320
30001069,5,7:30,18:30,0,60,320
30001069,6,7:30,18:30,0,60,320
30001069,7,7:30,12:30,0,60,320
30001070,2,7:30,18:30,0,60,550
30001070,2,18:30,20:30,0,120,550
30001070,3,7:30,18:30,0,60,550
30001070,3,18:30,20:30,0,120,550
30001070,4,7:30,18:30,0,60,550
30001070,4,18:30,20:30,0,120,550
30001070,5,7:30,18:30,0,60,550
30001070,5,18:30,20:30,0,120,550
30001070,6,7:30,18:30,0,60,550
30001070,6,18:30,20:30,0,120,550
30001070,7,7:30,18:30,0,60,550
30001070,7,18:30,20:30,0,120,550
30001071,2,7:30,18:30,0,120,320
30001071,3,7:30,18:30,0,120,320
30001071,4,7:30,18:30,0,120,320
30001071,5,7:30,18:30,0,120,320
30001071,6,7:30,18:30,0,120,320
30001071,7,7:30,12:30,0,120,320
30001073,2,7:30,18:30,0,60,320
30001073,3,7:30,18:30,0,60,320
30001073,4,7:30,18:30,0,60,320
30001073,5,7:30,18:30,0,60,320
30001073,6,7:30,18:30,0,60,320
30001073,7,7:30,12:30,0,60,320
30001074,2,7:30,18:30,0,240,170
30001074,3,7:30,18:30,0,240,170
30001074,4,7:30,18:30,0,240,170
30001074,5,7:30,18:30,0,240,170
30001074,6,7:30,18:30,0,240,170
30001074,7,7:30,12:30,0,240,170
30001075,2,7:30,18:30,0,120,320
30001075,3,7:30,18:30,0,120,320
30001075,4,7:30,18:30,0,120,320
