marker_id,maximum_stay,cost_per_hour
C7698,240,170
C7716,240,170
C7696,240,170
C7706,240,170
C7702,240,170
7709S,240,170
C7718,240,170
C7682,240,170
9419S,60,320
9451S,60,320
9443S,60,320
9417S,60,320
9441S,60,320
9445S,60,320
9447S,60,320
9457S,60,320
9423S,60,320
9411S,60,320
9453S,60,320
9455S,60,320
9437S,60,320
9425S,60,320
9439S,60,320
9413S,60,320
9427S,60,320
9429S,60,320
9461S,60,320
9449S,60,320
9415S,60,320
9435S,60,320
9421S,60,320
9431S,60,320
9459S,60,320
9433S,60,320
6254N,240,550
6251S,240,550
6263S,240,550
6265S,240,550
6253S,240,550
6267S,240,550
6240N,240,550
6252N,240,550
6259S,240,550
6257S,240,550
101W,60,550
C164,60,550
103W,60,550
130E,60,550
138E,60,550
97W,60,550
C196,60,550
C176,60,550
C160,60,550
C192,60,550
134E,60,550
C180,60,550
C184,60,550
C168,60,550
99W,60,550
C162,60,550
C172,60,550
4507W,180,550
4501W,180,550
4505W,180,550
4503W,180,550
4509W,180,550
6322E,60,320
C6344,60,320
C6348,60,320
C6350,60,320
6310E,60,320
C6372,60,320
C6420,60,320
C6304,60,320
6377W,60,320
C6400,60,320
C6336,60,320
C6404,60,320
6313W,60,320
C6296,60,320
6288E,60,320
C6406,60,320
C6300,60,320
C6416,60,320
6306E,60,320
C6356,60,320
C6424,60,320
6426E,60,320
C6368,60,320
6314E,60,320
C6432,60,320
6370E,60,320
6318E,60,320
6315W,60,320
6294E,60,320
6381W,60,320
C6290,60,320
6330E,60,320
C6298,60,320
C6278,60,320
6334E,60,320
C6414,60,320
6383W,60,320
C6392,60,320
C6286,60,320
6394E,60,320
C6340,60,320
6379W,60,320
6386E,60,320
6338E,60,320
C6302,60,320
C6360,60,320
C6402,60,320
C6396,60,320
6362E,60,320
C6352,60,320
C6282,60,320
6375W,60,320
6398E,60,320
C6378,60,320
C6284,60,320
C6418,60,320
C6380,60,320
6292E,60,320
C6376,60,320
6354E,60,320
6326E,60,320
C6382,60,320
C6408,60,320
C6412,60,320
C6428,60,320
C6390,60,320
C6384,60,320
6358E,60,320
C6374,60,320
6422E,60,320
C6294,60,320
6355W,60,320
C6280,60,320
C1142,60,550
C1132,60,550
C1120,60,550
C1136,60,550
C1134,60,550
C1126,60,550
C1144,60,550
C1140,60,550
C1148,60,550
C1122,60,550
C1138,60,550
C1128,60,550
C1146,60,550
C1124,60,550
C1130,60,550
C1118,60,550
6556N,30,540
C6566,30,540
6536N,30,540
C6554,30,540
6540N,30,540
C6552,30,540
6538N,30,540
C6562,30,540
6560N,30,540
6542N,30,540
C6558,30,540
13452E,120,320
13351W,120,320
13436E,120,320
13464E,120,320
13347W,120,320
13339W,120,320
13333W,120,320
13345W,120,320
13444E,120,320
13337W,120,320
13454E,120,320
13434E,120,320
13464E,120,320
13450E,120,320
13440E,120,320
13464E,120,320
13343W,120,320
13442E,120,320
13329W,120,320
13438E,120,320
13349W,120,320
13335W,120,320
13458E,120,320
13341W,120,320
13448E,120,320
13458E,120,320
13432E,120,320
13446E,120,320
13436E,120,320
13331W,120,320
13458E,120,320
13456E,120,320
